variable,distribution,lower,median,upper,unit,description,comment
approval_costs_stationary_windmachine,posnorm,3000,NA,10000,€,Costs for getting an approval to build a stationary windmachine,NA
area_performance_frostbuster,posnorm,2,NA,5,ha,Area which could be protected by one tractor-mounted gas heater,NA
area_performance_frostguard,posnorm,1,NA,3,ha,Area which could be protected by one portable gas heater,NA
area_performance_mobile_windmachine,posnorm,2,NA,5,ha,Area which could be protected by one mobile windmachine,NA
area_performance_stationary_windmachine,posnorm,4,NA,6,ha,Area which could be protected by one stationary windmachine,NA
candle_places_per_ha,posnorm,200,NA,500,candle places,Number of candles needed to protect one ha apple orchard,NA
candle_price,posnorm,12,NA,15,€/candle,Purchase price of one candle,NA
costs_fire_damage,posnorm,100,NA,300,€/event,Costs in case of fire damage,NA
costs_ignition_material,posnorm,0.5,NA,1,€/candle,Costs for ignition material to ignite one candle,NA
discount_rate,posnorm,2,NA,4,%,The discount rate to be used throughout the project,NA
disposal_cost_per_candle,norm,1,NA,2,€/candle,Disposal cost for empty candle,NA
establishment_costs_per_ha,posnorm,30000,NA,68000,€/ha,Cost to prepare and plant a new apple orchard,NA
fire_damage_risk_candles,tnorm_0_1,0.1,NA,0.25,%/100,Risk of fire damage due to the use of candles,NA
fire_damage_risk_heaters,tnorm_0_1,0.05,NA,0.2,%/100,Risk of fire damage due to the use of heaters,NA
first_protection_year,const,4,NA,4,year,Year of cultivation in which the investment in protection takes place,NA
first_yield_percent,posnorm,35,NA,45,%,Percentage of “mean_yield” which is havested in year “time_to_first_yield_est”,NA
frost_monitoring_costs,posnorm,200,NA,500,€/year,Costs for frost monitoring,NA
frostbuster_price,posnorm,10000,NA,25000,€,Purchase price of one tractor-mounted gas heater,NA
frostguard_price,posnorm,7000,NA,12000,€,Purchase price of one portable gas heater,NA
fuel_consumption_stationary_windmachine,posnorm,20,NA,30,L/h,Fuel consumption (in litre) of a stationary windmachine per hour,NA
gas_bottle_deposit,posnorm,60,NA,70,€,Deposit costs per gas bottle,NA
